,correlation
Curricular units 2nd sem (approved),0.6539952460991423
Curricular units 2nd sem (grade),0.6053501259229878
Curricular units 1st sem (approved),0.554880856533347
Curricular units 1st sem (grade),0.5199270935327744
Tuition fees up to date,0.4421375757680648
Scholarship holder,0.313017662589069
Age at enrollment,-0.2672293831633241
Debtor,-0.26720719892947853
Gender,-0.2519548119534265
Application mode,-0.24450719808426288
Curricular units 2nd sem (enrolled),0.18289654087432544
Curricular units 1st sem (enrolled),0.1610735163889365
Admission grade,0.128057716154513
Displaced,0.12611303526795542
Curricular units 2nd sem (evaluations),0.11923876678096997
Previous qualification (grade),0.10946365310011318
Curricular units 2nd sem (without evaluations),-0.1026868285766343
Marital status,-0.10047906625607986
Application order,0.09435462724757428
Daytime/evening attendance	,0.08449593574263146
Curricular units 1st sem (without evaluations),-0.07464226018538014
Previous qualification,-0.06232290259631596
Curricular units 1st sem (evaluations),0.05978625949022733
Mother's qualification,-0.053988794962507865
Curricular units 2nd sem (credited),0.052401971159116184
GDP,0.05026014681835994
Curricular units 1st sem (credited),0.04690001650294807
Course,0.038135402995266764
Inflation rate,-0.030325865974636136
Nacionality,-0.015516308396310501
Educational special needs,-0.007253654142177353
International,0.006181262165854279
Father's qualification,-0.005865479932260606
Father's occupation,0.005065525427310094
Unemployment rate,0.0041981052265261075
Mother's occupation,0.0007724443649592459
