date,temp_max,temp_min,temp_mean,precipitation_total,rain_total,snow_total,precipitation_hours,wind_speed_max,wind_gust_max,weather_code,sunshine_duration,daylight_duration
2018-09-04,31.2,23.9,27.5,0.0,0.0,0.0,0.0,10.5,21.2,3,43013.66,46669.32
2018-09-05,29.4,23.2,26.2,1.1,1.1,0.0,4.0,17.9,34.9,53,42916.46,46511.89
2018-09-06,32.3,23.6,26.8,4.6,4.6,0.0,7.0,17.6,38.5,61,33312.05,46353.66
2018-09-07,24.3,20.7,22.8,4.9,4.9,0.0,16.0,16.1,31.3,53,1282.37,46194.73
2018-09-08,21.1,15.6,18.8,6.9,6.9,0.0,12.0,18.4,36.7,55,2515.72,46035.2
2018-09-09,17.2,13.7,15.3,17.9,17.9,0.0,24.0,18.8,37.4,61,0.0,45875.18
2018-09-10,17.5,13.6,16.0,30.8,30.8,0.0,24.0,28.8,56.5,63,0.0,45714.75
2018-09-11,24.4,17.3,20.9,14.7,14.7,0.0,11.0,17.0,36.0,63,4967.27,45554.02
2018-09-12,25.5,20.6,22.8,17.3,17.3,0.0,16.0,10.8,23.4,63,3325.69,45393.1
2018-09-13,24.3,20.7,22.2,29.5,29.5,0.0,9.0,17.4,34.2,65,24258.51,45232.07
2018-09-14,23.9,20.2,21.6,0.4,0.4,0.0,4.0,15.8,32.0,51,3740.55,45071.04
2018-09-15,24.9,18.3,21.4,0.3,0.3,0.0,3.0,10.1,19.4,51,32685.79,44910.09
2018-09-16,27.4,18.1,21.7,0.0,0.0,0.0,0.0,14.1,28.4,3,34611.62,44749.33
2018-09-17,24.7,18.1,22.0,4.8,4.8,0.0,14.0,18.9,39.2,53,6915.09,44588.84
2018-09-18,25.1,20.4,22.7,20.5,20.5,0.0,14.0,21.6,38.5,63,9241.86,44428.73
2018-09-19,26.6,19.4,22.4,1.7,1.7,0.0,6.0,16.6,33.5,53,39495.63,44269.07
2018-09-20,20.8,17.8,19.4,3.2,3.2,0.0,12.0,10.9,23.8,53,11825.79,44109.98
2018-09-21,23.0,19.4,20.8,0.0,0.0,0.0,0.0,23.2,44.3,3,2846.96,43951.14
2018-09-22,22.2,16.0,20.0,2.4,2.4,0.0,3.0,23.1,46.1,61,35033.01,43791.55
2018-09-23,18.8,14.8,16.6,1.9,1.9,0.0,13.0,11.9,24.1,51,0.0,43631.24
2018-09-24,20.1,14.1,16.8,0.1,0.1,0.0,1.0,23.3,48.2,51,24689.51,43470.31
2018-09-25,21.8,14.3,18.9,61.4,61.4,0.0,22.0,28.1,56.2,65,0.0,43308.86
2018-09-26,26.3,20.6,23.1,10.9,10.9,0.0,11.0,22.5,47.2,63,35389.68,43147.0
2018-09-27,21.8,15.0,18.4,5.7,5.7,0.0,6.0,22.2,39.6,61,32400.0,42984.82
2018-09-28,19.5,13.9,16.4,29.3,29.3,0.0,9.0,27.3,63.4,63,19786.42,42822.43
2018-09-29,22.2,13.7,17.5,0.0,0.0,0.0,0.0,11.8,25.2,3,38584.73,42659.93
2018-09-30,20.2,12.2,16.3,0.0,0.0,0.0,0.0,13.6,26.3,3,38508.36,42497.42
2018-10-01,25.0,15.5,19.9,0.9,0.9,0.0,3.0,19.2,38.9,51,26480.82,42335.0
2018-10-02,24.8,17.1,20.7,32.9,32.9,0.0,11.0,16.2,34.9,65,22627.44,42172.78
2018-10-03,24.4,16.4,20.4,0.0,0.0,0.0,0.0,18.2,33.8,3,37493.02,42010.86
2018-10-04,25.8,15.2,20.5,1.8,1.8,0.0,3.0,18.9,38.2,61,34062.29,41849.33
2018-10-05,20.1,13.9,17.2,0.0,0.0,0.0,0.0,21.5,40.0,3,38192.4,41688.32
2018-10-06,19.8,17.5,18.6,0.6,0.6,0.0,4.0,19.1,36.0,51,287.69,41527.91
